,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Cliente ,Descripción de cliente ,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa principal,Placas / Paralelas,Stacker´s,Bandas,Prensa alterna 1,Placas / Paralelas2,Stacker´s2,Bandas2,Prensa alterna 2,Placas / Paralelas3,Stacker's ,Bandas3,Prensa alterna 3,Placas / Paralelas4,Stacker's 3,Bandas4,Long. alambre para corte,Cal. de alambre,Tipo de alambre,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso de alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack´s por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
24,EI 212 4HO 26 ø0.328 ®,CONTROL TRANSFORMER,,EI 212 4HO 26 ø0.328 ®,,EI-212,215.8,Minster 100,N/A,EI-213,N/A,Bliss,N/A,,,,,,,,,,,,18,,Tech cool 10-1,,,,,0.0197,6.375,0.0165,4.625,235,3.878,,,,,
25,EI 225 4RH 26 ø0.312 ®,LACONIA,,EI 225 4RH 26 ø0.312 ®,,EI-225,228.5,P-150B,N/A,EI-225,N/A,,,,,,,,,,,,,25,18,,,,,,,0.0197,6.750,0.056,4.625,235,13.160,,,,,GPM 115
26,EI 225 4RH 26 ø0.312 ®,LACONIA,,EI 225 4RH 26 ø0.312 ®,,EI-225,228.5,P-150B,N/A,EI-225,N/A,,,,,,,,,,,,,25,18,,,,,,,0.0197,6.750,0.0185,4.625,235,4.348,,,,,GPM 115
27,EI 225 4RH 29 ø0.312 ®,LACONIA,,EI 225 4RH 29 ø0.312 ®,,EI-225,228.5,P-150B,N/A,EI-225,N/A,,,,,,,,,,,,,25,18,,,,,,,0.0138,6.750,,4.625,336,0.000,,,,,
28,EI 225 4RH 29 ø0.312 ®,LACONIA,,EI 225 4RH 29 ø0.312 ®,,EI-225,228.5,P-150B,N/A,EI-225,N/A,,,,,,,,,,,,,25,18,,,,,,,0.0138,6.750,,4.625,336,0.000,,,,,
29,EI 300 4HO 0.375 29 ®,MACRO MAGNETICS,,EI 300 4HO 0.375 29 ®,,EI-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,
30,EI 300 4HO 0.375 29 ®,MACRO MAGNETICS,,EI 300 4HO 0.375 29 ®,,EI-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#DIV/0!,#DIV/0!,,,,,
31,EI 300 RH 6HO ,SCHNEIDER,,EI 300 6RH 0.375 26 ®,,EI 300,,P-200B,Placas 14 - Placas13,N/A,B4-B5,,,,,,,,,,,,,"30, 32",,,Evaporativo,Si,50M470,,,0.0197,9.000,,E:3 / I:6,#VALUE!,#VALUE!,,,,,GPM 80
32,EI 300 RH 6HO ,SCHNEIDER,,EI 300 6RH 0.375 26 ®,,EI 300,,P-200B,Placas 14 - Placas13,N/A,B4-B5,,,,,,,,,,,,,"30, 32",,,Evaporativo,Si,50M470,,,0.0197,9.000,,E:3 / I:6,#VALUE!,#VALUE!,,,,,GPM 80
33,EI 300 STD 4HO ,SHAPE,,EI 300 4HO 0.375 26 ®,,EI 300,,,Placas 14,,B4,,,,,,,,,,,,,"30, 32",,,Evaporativo,Si,50M470,,,0.0197,9.000,,E:3 / I:6,#VALUE!,#VALUE!,,,,,GPM 80
