,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción del Cliente,Nivel de revisión,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa 1,Placas / Paralelas ,Stacker's,Bandas,Prensa 2,Placas / Paralelas 2,Stacker's 2,Bandas 2,Prensa 3,Placas / Paralelas 3,Stacker's 3,Bandas3,Prensa 4,Placas / Paralelas 4,Stacker's 4,Bandas 4,Long. Corte de alambre,Cal. de alambre,Tipo de alambre ,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso del alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack's por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
1,1005869,"LAMINATION, EI-75",,EI-75 4HO 0.179,,EI-75C,76.16,Pulsar A,N/A,EI-75C,N/A,Pulsar B,,,,Aida,,,,,,,,44,18,Cocido ,Tech cool 10-1,Si,65M430,65M700,65M800,0.0256,2.250,0.008,18.5,723,5.7840,,,,,GPM 200
2,1005869,LAMINATION EI-75,,EI-75 4HO 0.179,,EI-75C,76.16,Pulsar A,N/A,EI-75C,N/A,Pulsar B,,,,Aida,,,,,,,,44,18,Cocido ,Tech cool 10-1,SI,65M430,65M700,65M800,0.0256,2.250,0.0025,18.5,723,1.8075,,,,,GPM 200
3,1005869,"LAMINATION, EI-75",,EI-75 4HO 0.156,,EI-75F,76.16,Minster 30,N/A,EI-75F,N/A,,,,,,,,,,,,,44,18,Cocido ,Tech cool 10-1,Si,65M430,65M700,65M800,0.0256,2.248,0.008,18.5,723,5.7840,,,,,GPM 200
4,1005869,"LAMINATION, EI-75",,EI-75 4HO 0.156,,EI-75F,76.16,Minster 30,N/A,EI-75F,N/A,,,,,,,,,,,,,44,18,Cocido ,Tech cool 10-1,Si,65M430,65M700,65M800,0.0256,2.248,0.0026,18.5,723,1.8798,,,,,GPM 200
