,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción del Cliente,Nivel de revisión,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa 1,Placas / Paralelas ,Stacker's,Bandas,Prensa 2,Placas / Paralelas 2,Stacker's 2,Bandas 2,Prensa 3,Placas / Paralelas 3,Stacker's 3,Bandas3,Prensa 4,Placas / Paralelas 4,Stacker's 4,Bandas 4,Long. Corte de alambre,Cal. de alambre,Tipo de alambre ,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso del alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack's por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
1,07-0857-00-8 B,LAMINACION EI-100 FULL PROCESS,,EI-100 4HO 26 0.218,,EI-100B,89,Pulsar-A,N/A,EI-100B,N/A,Pulsar-B,N/A,EI-100B,N/A,,,,,,,,,27,18,Cocido ,Tech cool 10-1,Si,50M800,50M470,50M600,0.0197,3,0.011,9.25,470,5.1700,,,,,GPM 200
2,07-0857-00-8 B,LAMINACION EI-100 FULL PROCESS,,EI-100 4HO 26 0.218,,EI-100B,89,Pulsar-A,N/A,EI-100B,N/A,Pulsar-B,N/A,EI-100B,N/A,,,,,,,,,27,18,Cocido ,Tech cool 10-1,Si,50M800,50M470,50M600,0.0197,3,0.0035,9.25,470,1.6450,,,,,GPM 200
3,07-0859-00-4 B,LAMINACION EI-150 FULL PROCESS,,EI-150 4HO 26 0.218,,EI-150,152.35,Aida,Placas 2,EI-150,N/A,Bliss,N/A,EI-150,N/A,,,,,,,,,25,18,Recocido ,Tech cool 10-1,Si,50M800,,,0.0197,4.500,0.025,6.25,318,7.9500,,144,,,GPM 160
4,07-0859-00-4 B,LAMINACION EI-150 FULL PROCESS,,EI-150 4HO 26 0.218,,EI-150,152.35,Aida,Placas 2,EI-150,N/A,Bliss,N/A,EI-150,N/A,,,,,,,,,25,18,Recocido ,Tech cool 10-1,Si,50M800,,,0.0197,4.500,0.008,6.25,318,2.5440,,144,,,GPM 160
5,07-0858-00-6 B,LAMINATION EI-125 FULL PROCESS,,EI 125 4HO 26 0.218,,EI-125,111.1,Aida,Placas 2,EI-125,N/A,P-150B,Placas 4,EI-125,N/A,P-150A,Placas 4,EI-125,N/A,Minster 30,,,,29,18,Cocido ,Tech cool 10-1,Si,50M800,50M600,,0.0197,3.75,0.0172,9.25,470,8.0840,,,,,GPM 200
6,07-0858-00-6 B,LAMINATION EI-125 FULL PROCESS,,EI 125 4HO 26 0.218,,EI-125,111.1,Aida,Placas 2,EI-125,N/A,P-150B,Placas 4,EI-125,N/A,P-150A,Placas 4,EI-125,N/A,Minster 30,,,,29,18,Cocido ,Tech cool 10-1,Si,50M800,50M600,,0.0197,3.75,0.0056,9.25,470,2.6320,,,,,GPM 200
7,,,,EI-125-4HS-26-0.218,,EI-125,111.1,Aida,Placas 2,EI-125,N/A,,,,,,,,,,,,,27,18,Cocido ,Tech cool 10-1,,50M800,,,0.0197,3.75,0.0171,9.25,470,8.0370,,,,,
8,,,,EI-125-4HS-26-0.218,,EI-125,111.1,Aida,Placas 2,EI-125,N/A,,,,,,,,,,,,,27,18,Cocido ,Tech cool 10-1,,50M800,,,0.0197,3.75,0.0055,9.25,470,2.5850,,,,,
