,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción del Cliente,Nivel de revisión,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa 1,Placas / Paralelas ,Stacker's,Bandas,Prensa 2,Placas / Paralelas 2,Stacker's 2,Bandas 2,Prensa 3,Placas / Paralelas 3,Stacker's 3,Bandas3,Prensa 4,Placas / Paralelas 4,Stacker's 4,Bandas 4,Long. Corte de alambre,Cal. de alambre,Tipo de alambre ,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso del alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack's por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
21,31344-5,EI-212H4 (MODIFIED) 26M50 LAMINATION,,EI-212-STD-H4,,EI-212,215.8,Bliss,N/A,EI-212,N/A,Minster 100,N/A,,,,,,,,,,,,,,,,,,,0.0197,6.375,,4.625,235,0.00,,,,,
22,,EI-212H4 (MODIFIED) 26M50 LAMINATION,,EI 212 4HOG 0.320 26,,EI-212,215.8,Bliss,N/A,EI-212,N/A,Minster 100,N/A,,,,,,,,,,,24,18,Cocido,Tech cool 10-1,Si,50M470,50M800,,0.0197,6.375,0.0482,4.625,235,11.33,,,,,
23,,EI-212H4 (MODIFIED) 26M50 LAMINATION,,EI 212 4HOG 0.320 26,,EI-212,215.8,Bliss,N/A,EI-212,N/A,Minster 100,N/A,,,,,,,,,,,24,18,Cocido,Tech cool 10-1,Si,50M470,50M800,,0.0197,6.375,0.0163,4.625,235,3.83,,,,,
24,31344-5,EI-212H4 (MODIFIED) 26M50 LAMINATION,,EI-212-0.50-H4,,EI-212,215.8,Bliss,N/A,EI-212,N/A,Minster 100,N/A,,,,,,,,,,,,,,,,,,,0.0197,6.375,,4.625,235,0.00,,,,,
25,31344-5,EI-212H4 (MODIFIED) 26M50 LAMINATION,,EI-212-0.50-H4,,EI-212,215.8,Bliss,N/A,EI-212,N/A,Minster 100,N/A,,,,,,,,,,,,,,,,,,,0.0197,6.375,,4.625,235,0.00,,,,,
26,31344-5,EI-212H4 (MODIFIED) 26M50 LAMINATION,,EI-212-STD-H6,,EI-212,215.8,Bliss,N/A,EI-212,N/A,Minster 100,N/A,,,,,,,,,,,,,,,,,,,0.0197,6.375,,4.625,235,0.00,,,,,
27,31344-5,EI-212H4 (MODIFIED) 26M50 LAMINATION,,EI-212-STD-H6,,EI-212,215.8,Bliss,N/A,EI-212,N/A,Minster 100,N/A,,,,,,,,,,,,,,,,,,,0.0197,6.375,,4.625,235,0.00,,,,,
28,31344-5,EI-212H4 (MODIFIED) 26M50 LAMINATION,,EI-212-0.32-H6,,EI-212,215.8,Bliss,N/A,EI-212,N/A,Minster 100,N/A,,,,,,,,,,,,,,,,,,,0.0197,6.375,,4.625,235,0.00,,,,,
29,31344-5,EI-212H4 (MODIFIED) 26M50 LAMINATION,,EI-212-0.32-H6,,EI-212,215.8,Bliss,N/A,EI-212,N/A,Minster 100,N/A,,,,,,,,,,,,,,,,,,,0.0197,6.375,,4.625,235,0.00,,,,,
30,31344-5,EI-212H4 (MODIFIED) 26M50 LAMINATION,,EI-212-0.50-H6,,EI-212,215.8,Bliss,N/A,EI-212,N/A,Minster 100,N/A,,,,,,,,,,,,,,,,,,,0.0197,6.375,,4.625,235,0.00,,,,,
31,31344-5,EI-212H4 (MODIFIED) 26M50 LAMINATION,,EI-212-0.50-H6,,EI-212,215.8,Bliss,N/A,EI-212,N/A,Minster 100,N/A,,,,,,,,,,,,,,,,,,,0.0197,6.375,,4.625,235,0.00,,,,,GPM 25
33,35500-3, LAMINATION 29 GA M6,,35500-3,,N/A,N/A,CTL-A,,,,CTL-B,,,,,,,,,,,,,,,Evaporativo,No,35M145,,,0.0138,3.75,,3,218,0.00,,,,,GPM 25
34,35501-9, LAMINATION 29 GA M6,,35501-9,,N/A,N/A,CTL-A,,,,CTL-B,,,,,,,,,,,,,,,Evaporativo,No,35M145,,,0.0138,3.75,,3,218,0.00,,,,,GPM 25
35,35516-2, LAMINATION 29 GA M6,,35516-2,,N/A,N/A,CTL-A,,,,CTL-B,,,,,,,,,,,,,,,Evaporativo,No,35M145,,,0.0138,3.75,,3,218,0.00,,,,,GPM 25
32,35517-8, LAMINATION 29 GA M6,,35518-8,,N/A,N/A,CTL-A,,,,CTL-B,,,,,,,,,,,,,,,Evaporativo,No,35M145,,,0.0138,3.75,,3,218,0.00,,,,,GPM 25
36,35524-4, LAMINATION 29 GA M6,,35524-4,,N/A,N/A,CTL-A,,,,CTL-B,,,,,,,,,,,,,,,Evaporativo,No,35M145,,,0.0138,3.75,,3,218,0.00,,,,,GPM 25
36,07293-4,,,EI 300 4RH 0.375 26,,N/A,N/A,CTL-A,,,,CTL-B,,,,,,,,,,,,,,,Evaporativo,No,35M145,,,0.0138,3.75,,3,218,0.00,,,,,GPM 25
36,07293-4,,,EI 300 4RH 0.375 26,,N/A,N/A,CTL-A,,,,CTL-B,,,,,,,,,,,,,,,Evaporativo,No,35M145,,,0.0138,3.75,,3,218,0.00,,,,,GPM 25
