,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción del Cliente,Nivel de revisión,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa 1,Placas / Paralelas ,Stacker's,Bandas,Prensa 2,Placas / Paralelas 2,Stacker's 2,Bandas 2,Prensa 3,Placas / Paralelas 3,Stacker's 3,Bandas3,Prensa 4,Placas / Paralelas 4,Stacker's 4,Bandas 4,Long. Corte de alambre,Cal. de alambre,Tipo de alambre ,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso del alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack's por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
1,N375667-C2D1,SA STACK. 4-POLE MP,,Rotor B&D Ø 7.97mm,,ZX 121,38,Aida,Placas 3,N/A,,Minster 100,Placas 3,N/A,Cotizar bandas. ,N/A,,,,N/A,,,,N/A,N/A,N/A,Evaporativo,No,35M300,,,0.0138,5.413,0.0013,0.992,72,0.0936,,,,,
2,N375668-C2D1,SA STACK. 4-POLE MP,,Rotor B&D Ø 7.97mm,,ZX 121,38,Aida,Placas 3,N/A,,Minster 100,Placas 3,N/A,,N/A,,,,N/A,,,,N/A,N/A,N/A,Evaporativo,No,35M300,,,0.0138,5.413,0.0013,1.185,86,0.1118,,,,,GPM 140
3,N375660-C2D1,SA STACK. 4-POLE FL,,Rotor B&D Ø 4.95 mm,,ZX 121,38,Aida,Placas 3,N/A,,Minster 100,Placas 3,N/A,,N/A,,,,N/A,,,,N/A,N/A,N/A,Evaporativo,No,35M300,,,0.0138,5.413,0.0013,,0,0,,,,,
3,N375659-C2D1,SA STACK. 4-POLE FL,,Rotor B&D Ø 4.95 mm,,ZX 121,38,Aida,Placas 3,N/A,,Minster 100,Placas 3,N/A,,N/A,,,,N/A,,,,N/A,N/A,N/A,Evaporativo,No,35M300,,,0.0138,5.413,0.0013,,0,0,,,,,
4,N705303-C2D1,SA STATOR  STACK BL48,,Estator BL48,,RS BL48,49,P-200A,Placas 6,N/A,B6,N/A,,,,N/A,,,,N/A,,,,,,,,No,50M470,,,0.0197,3.638,0.0031,0.35,18,0.0558,,,,,
5,N713358-C2D1,SA ROTOR STACK  BL48,,Rotor BL48,,RS BL48,49,P-200A,Placas 6,N/A,B6,N/A,,,,N/A,,,,N/A,,,,,,,,No,50M470,,,0.0197,3.638,0.0011,0.39,20,0.022,,,,,
