,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción del Cliente,Nivel de revisión,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa 1,Placas / Paralelas ,Stacker's,Bandas,Prensa 2,Placas / Paralelas 2,Stacker's 2,Bandas 2,Prensa 3,Placas / Paralelas 3,Stacker's 3,Bandas3,Prensa 4,Placas / Paralelas 4,Stacker's 4,Bandas 4,Long. Corte de alambre,Cal. de alambre,Tipo de alambre ,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso del alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack's por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
19,A209-241,DUO CORE,,A209-241,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,23M100,N/A,N/A,0.009,3.5,,N/A,N/A,N/A,,,,Estufada,
20,A209-242,DUO CORE,,A209-242,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,23M100,N/A,N/A,0.009,3.5,73.325,N/A,N/A,N/A,,,,Estufada,
21,A209-243,DUO CORE,,A209-243,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,23M100,N/A,N/A,0.009,4.5,,N/A,N/A,N/A,,,,Estufada,
22,A209-244,DUO CORE,,A209-244,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,23M100,N/A,N/A,0.009,5,,N/A,N/A,N/A,,,,Estufada,
23,A209-245,DUO CORE,,A209-245,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,23M100,N/A,N/A,0.009,6.5,,N/A,N/A,N/A,,,,Estufada,
24,A209-246,DUO CORE,,A209-246,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,23M100,N/A,N/A,0.009,5.5,,N/A,N/A,N/A,,,,Estufada,
25,A209-247,DUO CORE,,A209-247,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,23M100,N/A,N/A,0.009,6,,N/A,N/A,N/A,,,,Estufada,
26,A209-248,DUO CORE,,A209-248,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,23M100,26QG090,N/A,0.009,7,,N/A,N/A,N/A,,,,Estufada,
27,A209-249,DUO CORE,,A209-249,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,23M100,N/A,N/A,0.009,6.5,,N/A,N/A,N/A,,,,Estufada,
25,A209-141,SINGLE CORE,,A209-142,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,23M100,,,0.009,4.5,,N/A,N/A,N/A,,,,,
25,A209-142,SINGLE CORE,,A209-142,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,23M100,,,0.009,4.5,,N/A,N/A,N/A,,,,,
26,A209-143,SINGLE CORE,,A209-143,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,23M100,,,0.009,4.5,,N/A,N/A,N/A,,,,,
27,A209-144,SINGLE CORE,,A209-144,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,23M100,,,0.009,6,,N/A,N/A,N/A,,,,,
28,A209-145,SINGLE CORE,,A209-145,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,23M100,,,0.009,4.5,,N/A,N/A,N/A,,,,,
29,A209-146,SINGLE CORE,,A209-146,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,23M100,,,0.009,5,,N/A,N/A,N/A,,,,,
30,A209-147,SINGLE CORE,,A209-147,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,23M100,,,0.009,6,,N/A,N/A,N/A,,,,,
31,A209-251,DUO CORE,,A209-251,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,23M095,,,0.009,7.5,,,,,,,,,
32,A209-252,DUO CORE,,A209-252,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,23M095,,,0.009,7.5,,,,,,,,,
33,A209-253,DUO CORE,,A209-253,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,23M095,,,0.009,7.5,,,,,,,,,
34,A209-254,DUO CORE,,A209-254,,N/A,N/A,UNICORE A,N/A,N/A,N/A,UNICORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,23M095,,,0.009,7.5,,,,,,,,,
