,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Descripción del Cliente,Nivel de revisión,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa 1,Placas / Paralelas ,Stacker's,Bandas,Prensa 2,Placas / Paralelas 2,Stacker's 2,Bandas 2,Prensa 3,Placas / Paralelas 3,Stacker's 3,Bandas3,Prensa 4,Placas / Paralelas 4,Stacker's 4,Bandas 4,Long. Corte de alambre,Cal. de alambre,Tipo de alambre ,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso del alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack's por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
22,EI 125 4HO 26 0.218,,,EI 125 4HO 26 0.218,,EI-125,111.1,Aida,Placas 2,EI-125,N/A,P-150B,Placas 4,EI-125,N/A,P-150A,Placas 4,EI-125,N/A,Minster 30,,,,,18,,Tech cool 10-1,Si,50M400,,,0.0197,3.75,0.0056,9.25,470,2.632,,,,,
23,EI 125 4HO 24 ø0.218 ®,,,EI 125 4HO 24 ø0.218 ®,,EI-125,111.1,Aida,Placas 2,EI-125,N/A,P-150B,Placas 4,EI-125,N/A,P-150A,Placas 4,EI-125,N/A,Minster 30,,,,,18,,Tech cool 10-1,,65M800,,,0.0256,3.75,0.0227,9.25,362,8.2174,,,,,
24,EI 125 4HO 24 ø0.218 ®,,,EI 125 4HO 24 ø0.218 ®,,EI-125,111.1,Aida,Placas 2,EI-125,N/A,P-150B,Placas 4,EI-125,N/A,P-150A,Placas 4,EI-125,N/A,Minster 30,,,,,18,,Tech cool 10-1,,65M800,,,0.0256,3.75,0.0074,9.25,362,2.6788,,,,,
25,EI 150 4HO 24 0.218,,,EI 150 4HO 24 0.218,,EI-150,47.65,Aida,Placas 2,EI-150,N/A,,,,,,,,,,,,,,18,,Tech cool 10-1,Si,65M800,,,0.00256,4.5,,6.25,2442,0,,,,,
26,EI 150 4HO 24 0.218,,,EI 150 4HO 24 0.218,,EI-150,47.65,Aida,Placas 2,EI-150,N/A,,,,,,,,,,,,,,18,,Tech cool 10-1,Si,65M800,,,0.00256,4.5,,6.25,2442,0,,,,,
25,EI 150 4HO 26 0.218,,,EI 150 4HO 26 0.218,,EI-150,47.65,Aida,Placas 2,EI-150,N/A,,,,,,,,,,,,,,18,,Tech cool 10-1,Si,50M470,50M400,,0.0197,4.5,0.025,6.25,318,7.95,,,,,
26,EI 150 4HO 26 0.218,,,EI 150 4HO 26 0.218,,EI-150,47.65,Aida,Placas 2,EI-150,N/A,,,,,,,,,,,,,,18,,Tech cool 10-1,Si,50M470,50M400,,0.0197,4.5,0.008,6.25,318,2.544,,,,,
29,EI 175 4HO 24 0.281,,,EI 175 4HO 24 0.281,,EI-175,155.5,Bliss,N/A,EI-175,N/A,P-150A,,,,Placas 4,,,,,,,,,18,,Tech cool 10-1,Si,65M800,,,0.0256,5.25,0.0446,9.25,362,16.1452,,,,,
30,EI 175 4HO 24 0.281,,,EI 175 4HO 24 0.281,,EI-175,155.5,Bliss,N/A,EI-175,N/A,P-150A,,,,Placas 4,,,,,,,,,18,,Tech cool 10-1,Si,65M800,,,0.0256,5.25,0.0146,9.25,362,5.2852,,,,,
31,EI 212 4HO 26 0.328,,,EI 212 4HO 26 0.328,,EI-212,215.8,Bliss,N/A,EI-212,N/A,Minster 100,,,,N/A,,,,,,,,,18,,Tech cool 10-1,Si,65M800,,,0.025,6.375,0.05,4.625,185,9.25,,,,,
32,EI 212 4HO 26 0.328,,,EI 212 4HO 26 0.328,,EI-212,215.8,Bliss,N/A,EI-212,N/A,Minster 100,,,,N/A,,,,,,,,,18,,Tech cool 10-1,Si,65M800,,,0.025,6.375,0.0165,4.625,185,3.0525,,,,,
33,EI-625 HO 24 0.15,,,EI-625 HO 24 0.15,,EI-625,,Minster 30,N/A,EI-625,N/A,,,,,,,,,,,,,44,18,Cocido,Tech cool 10-1,Si,65M800,,,0.025,1.875,0.0056,18.5,740,4.144,,,,,
34,EI-625 HO 24 0.15,,,EI-625 HO 24 0.15,,EI-625,,Minster 30,N/A,EI-625,N/A,,,,,,,,,,,,,44,18,Cocido,Tech cool 10-1,Si,65M800,,,0.025,1.875,0.0019,18.5,740,1.406,,,,,
35,EI-625 HO 26 0.15,,,EI-625 HO 26 0.15,,EI-625,,Minster 30,N/A,EI-625,N/A,,,,,,,,,,,,,44,18,Cocido,Tech cool 10-1,Si,50M800,,,0.0197,1.875,,18.5,940,0,,,,,
36,EI-625 HO 26 0.15,,,EI-625 HO 26 0.15,,EI-625,,Minster 30,N/A,EI-625,N/A,,,,,,,,,,,,,44,18,Cocido,Tech cool 10-1,Si,50M800,,,0.0197,1.875,,18.5,940,0,,,,,
